Sample_ID,IGSN,Material,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,Fe2O3T,FeO,FeOT,NiO,MnO,MgO,CaO,SrO,Na2O,K2O,P2O5,BaO,LOI,H2O,H2OM,H2OP,SO2,SO3,V2O5,ZnO,Fe,Mn,FeS2,S,S_(SLFI),C_(non-carb),TOC,Latitude,Longitute,Elevation,Tectonic,Rock,Reference,Method,Expedition,Analysis_Comment
*BA52-005-013, ,GL,50.34,1.48,13.96,,,,,12.43,,,6.96,11.23,,2.03,0.17,0.14,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*BA52-005-014, ,GL,50.92,1.64,14.09,,,,,12.6,,,6.51,11.35,,2.17,0.2,0.14,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*BA52-005-015, ,GL,50.56,1.58,14.13,,,,,12.39,,,6.95,11.42,,2.18,0.18,0.12,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*BA52-005-016, ,GL,50.11,1.46,14.38,,,,,12.41,,,6.78,11.34,,2.1,0.16,0.15,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*BA52-005-017, ,GL,51.22,1.61,14.08,,,,,12.34,,,7.04,11.36,,2.15,0.17,0.13,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*BA52-005-018, ,GL,50.44,1.45,13.88,,,,,12.41,,,7.16,11.39,,2.12,0.19,0.15,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*BA52-005-019, ,GL,50.89,1.5,14.21,,,,,12.35,,,7.08,11.5,,2.25,0.16,0.14,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*BA52-005-020, ,GL,51.18,1.5,14.2,,,,,12.39,,,7.15,11.57,,2.16,0.15,0.13,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*BA52-005-021, ,GL,51.09,1.5,14.55,,,,,12.2,,,6.74,11.22,,2.1,0.2,0.16,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*BA52-005-022, ,GL,51.38,1.67,13.97,,,,,12.87,,,6.64,11.15,,2.14,0.2,0.2,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*BA52-005-023, ,GL,51.43,1.61,14.17,,,,,12.75,,,6.72,11.32,,2.1,0.21,0.18,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
*BA52-005-024, ,GL,50.55,1.57,14.55,,,,,12.33,,,6.64,11.17,,2.1,0.16,0.2,,,,,,,,,,,,,,,,,61.99,-26.59,-585,SPREADING_CENTER,"BASALT, igneous:volcanic:mafic","MELSON, 2003",EMP,UNKNOWN , 
