Sample_ID,IGSN,Material,He,He3,He4,He3_He4,He3_He4(R/Ra),He4_Ar40,Ar,Ar36,Ar38,Ar40,Ar40_RG,Ar38_Ar36,Ar36_Ar40,Ar40_Ar36,Ar40_Ar39,Ne,Ne20,Ne22,Ne20_Ne22,Ne21_Ne22,Kr78,Kr82,Kr83,Kr84,Kr86,Kr90,Xe124,Xe126,Xe128,Xe129,Xe130,Xe131,Xe132,Xe134,Xe136,Xe129_Xe132,Xe136_Xe132,U234_ACTIVITY,U238_ACTIVITY,U234_U238_ACTIVITY,U234_U238,U238_Th230,U238_Th232_ACTIVITY,U238_Th232,U238_Pb204,DELTA_U234,Th230_ACTIVITY,Th232_ACTIVITY,Th230_Th232,Th230_Th232_ACTIVITY,Th230_U238_ACTIVITY,Th230_U238,Th232_U238,Th232_Pb204,Th228_Th232,Ra226,Ra226_ACTIVITY,Ra226_Th230,Ra226_Th230_ACTIVITY,Pb210,CO2,F,Cl,N2,Latitude,Longitute,Elevation,Tectonic,Rock,Reference,Method,Expedition,Analysis_Comment
ALV1846-012, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,18.33,144.67,-3814,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","NEWMAN, 2000",FTIR,ALVIN 1846 , 
ALV1888-013, ,WR,,,,,,,6.201E-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.07,139.9,-1500,BACK-ARC_BASIN,"RHYOLITE, igneous:volcanic:felsic","HOCHSTAEDTER, 1990",MS-ID,ALVIN 1888 , 
ALV1888-013, ,WR,,,,,,,6.264E-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.07,139.9,-1500,BACK-ARC_BASIN,"RHYOLITE, igneous:volcanic:felsic","HOCHSTAEDTER, 1990",MS-ID,ALVIN 1888 , 
ALV1888-013, ,WR,,,,,,,7.894E-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.07,139.9,-1500,BACK-ARC_BASIN,"RHYOLITE, igneous:volcanic:felsic","HOCHSTAEDTER, 1990",MS-ID,ALVIN 1888 , 
ALV1888-013, ,WR,,,,,,,8.029E-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.07,139.9,-1500,BACK-ARC_BASIN,"RHYOLITE, igneous:volcanic:felsic","HOCHSTAEDTER, 1990",MS-ID,ALVIN 1888 , 
ALV1889-004, ,WR,,,,,,,2.385E-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.93,139.92,-2228,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","HOCHSTAEDTER, 1990",MS-ID,ALVIN 1889 , 
ALV1889-004, ,WR,,,,,,,2.545E-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.93,139.92,-2228,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","HOCHSTAEDTER, 1990",MS-ID,ALVIN 1889 , 
ALV1889-004, ,WR,,,,,,,2.664E-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.93,139.92,-2228,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","HOCHSTAEDTER, 1990",MS-ID,ALVIN 1889 , 
ALV1889-004, ,WR,,,,,,,2.768E-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.93,139.92,-2228,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","HOCHSTAEDTER, 1990",MS-ID,ALVIN 1889 , 
ALV1889-011, ,WR,,,,,,,4.393E-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.93,139.92,-2228,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","HOCHSTAEDTER, 1990",MS-ID,ALVIN 1889 , 
ALV1889-011, ,WR,,,,,,,4.435E-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.93,139.92,-2228,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","HOCHSTAEDTER, 1990",MS-ID,ALVIN 1889 , 
ALV1889-011, ,WR,,,,,,,4.59E-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.93,139.92,-2228,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","HOCHSTAEDTER, 1990",MS-ID,ALVIN 1889 , 
ALV1889-011, ,WR,,,,,,,4.747E-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.93,139.92,-2228,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","HOCHSTAEDTER, 1990",MS-ID,ALVIN 1889 , 
ALV1891-026, ,WR,,,,,,,1.76E-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.83,139.87,-2250,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","HOCHSTAEDTER, 1990",MS-ID,ALVIN 1891 , 
ALV1891-026, ,WR,,,,,,,2.561E-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.83,139.87,-2250,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","HOCHSTAEDTER, 1990",MS-ID,ALVIN 1891 , 
ALV1891-026, ,WR,,,,,,,2.584E-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.83,139.87,-2250,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","HOCHSTAEDTER, 1990",MS-ID,ALVIN 1891 , 
ALV1891-026, ,WR,,,,,,,3.54E-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.83,139.87,-2250,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","HOCHSTAEDTER, 1990",MS-ID,ALVIN 1891 , 
ALV1893-005, ,WR,,,,,,,1.016E-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.12,139.9,-2059,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","HOCHSTAEDTER, 1990",MS-ID,ALVIN 1893 , 
ALV1893-005, ,WR,,,,,,,1.125E-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.12,139.9,-2059,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","HOCHSTAEDTER, 1990",MS-ID,ALVIN 1893 , 
ALV1893-005, ,WR,,,,,,,1.835E-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.12,139.9,-2059,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","HOCHSTAEDTER, 1990",MS-ID,ALVIN 1893 , 
ALV1893-005, ,WR,,,,,,,2.478E-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.12,139.9,-2059,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","HOCHSTAEDTER, 1990",MS-ID,ALVIN 1893 , 
ALV1893-010, ,WR,,,,,,,5.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.12,139.9,-2059,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","HOCHSTAEDTER, 1990",MS-ID,ALVIN 1893 , 
ALV1893-010, ,WR,,,,,,,6.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.12,139.9,-2059,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","HOCHSTAEDTER, 1990",MS-ID,ALVIN 1893 , 
ALV1893-010, ,WR,,,,,,,6.649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.12,139.9,-2059,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","HOCHSTAEDTER, 1990",MS-ID,ALVIN 1893 , 
ALV1893-010, ,WR,,,,,,,7.531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.12,139.9,-2059,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","HOCHSTAEDTER, 1990",MS-ID,ALVIN 1893 , 
ARGSCAN-042-000, ,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,17.823,144.787,-3240,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","HART, 1972",GC,SCAN , 
ARGSCAN-046-000, ,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,17.172,144.83,-3465,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","HART, 1972",GC,SCAN , 
ARGSCAN-046-005, ,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,17.172,144.83,-3465,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","HART, 1972",GC,SCAN , 
CHRSPS2-001-003, ,WR,,,,,,,,1.46E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.215,167.577,-940,BACK-ARC_BASIN,"DACITE, igneous:volcanic:felsic","MONJARET, 1991",MS-ID,SEAPSO-2, 
CHRSPS2-001-008, ,WR,,,,,,,,9.8E-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.215,167.577,-940,BACK-ARC_BASIN,"DACITE, igneous:volcanic:felsic","MONJARET, 1991",MS-ID,SEAPSO-2, 
CHRSPS2-001-009, ,WR,,,,,,,,1.03E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.215,167.577,-940,BACK-ARC_BASIN,"DACITE, igneous:volcanic:felsic","MONJARET, 1991",MS-ID,SEAPSO-2, 
CHRSPS2-003-001, ,WR,,,,,,,,9E-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.225,167.677,-900,BACK-ARC_BASIN,"ANDESITE, igneous:volcanic:intermediate","MONJARET, 1991",MS-ID,SEAPSO-2, 
CHRSPS2-003-002, ,WR,,,,,,,,3.03E-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.225,167.677,-900,BACK-ARC_BASIN,"ANDESITE, igneous:volcanic:intermediate","MONJARET, 1991",MS-ID,SEAPSO-2, 
CHRSPS2-003-003, ,WR,,,,,,,,8.1E-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.225,167.677,-900,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","MONJARET, 1991",MS-ID,SEAPSO-2, 
